from,to,weight
TAP,USA,75228895.00099982
NEP,GER,35446.749
BES,FRA,29938.289
VAN,THA,145613.269
NIC,MEX,752525.3810000002
PNG,AUS,1701422.1679999998
ROM,FRA,5234039.178999996
KNA,USA,35785.962
VCT,USA,6972.694000000002
SMR,LBN,23669.964
STP,SIN,5254.435999999999
SAU,PRC,50948856.92199996
SEN,MLI,1050511.8150000002
SLE,BEL,161135.00699999998
SSD,PRC,299410.75899999996
SDN,SAU,341110.07899999997
SWZ,ZAF,1402963.9949999985
TKM,UZB,636293.1109999997
EGY,TUR,3211021.2759999903
UZB,SWI,2404575.042999999
OMN,IND,5399246.308000001
NAU,SAU,25974.308
VAN,JPN,48219.74
NER,UAE,2707898.943000001
IND,UAE,22999552.620999966
ZAF,PRC,20961074.013000004
UKR,POL,5009812.977999983
VEN,TUR,453756.732
WLF,PHI,64.009
NEP,USA,143671.227
NZL,USA,5985119.471000004
THA,JPN,26017450.70400001
UKG,SWI,35435736.546000056
URY,BRA,1756222.9420000017
MAR,FRA,8162369.717
VIE,KOR,23653015.657000028
USA,MEX,227702121.20500088
MNP,ISL,777.295
TGO,UAE,611894.463
SRB,GER,3256414.430000003
SVK,HUN,7794724.650999994
TIM,PRC,99782.21699999999
RWA,COD,587370.7450000008
NET,GER,119407042.30600008
TUN,ITA,3386207.9790000035
MOZ,IND,1542770.0779999993
TON,USA,3260.8219999999988
MLD,GER,26777.443000000003
MLT,PRC,367879.3879999999
NIC,USA,4014798.2809999962
NFK,CAM,286.144
PER,PRC,18199538.976000015
RUS,NET,36151961.90500009
BLM,FRA,1060.213
STP,NET,8901.657999999998
SIN,PRC,45347731.34400002
SIN,HKG,54028737.68000003
SVN,GER,7889313.233999996
SSD,SIN,85660.26000000001
TAJ,SWI,537569.087
TAJ,TUR,236849.5160000001
TGO,PRC,466334.8960000001
UAE,JPN,24943093.088000003
UAE,IND,42238212.06200008
UGA,KEN,292471.52699999977
UKG,USA,54203367.14000002
TZA,UAE,1484615.3470000005
SAM,ASM,6074.708000000021
MEX,USA,362241779.91400033
PAL,TAP,838.6950000000002
SUR,SWI,1445622.003
EGY,USA,3726450.964000003
UKG,GER,38126371.11100005
URY,USA,607165.0719999995
