baci_num,code,name,region,links
478,MRT,Mauritania,Sub-Saharan Africa,1
480,MUS,Mauritius,Sub-Saharan Africa,0
484,MEX,Mexico,Latin America and the Caribbean,3
490,TAP,"Taipei,China",East Asia and Pacific,5
496,MON,Mongolia,East Asia and Pacific,0
498,MDA,"Moldova, Republic of",Europe and Central Asia,0
499,MNE,Montenegro,Europe and Central Asia,0
500,MSR,Montserrat,Latin America and the Caribbean,0
504,MAR,Morocco,Middle East and North Africa,1
508,MOZ,Mozambique,Sub-Saharan Africa,0
512,OMN,Oman,Middle East and North Africa,2
516,NAM,Namibia,Sub-Saharan Africa,0
520,NAU,Nauru,East Asia and Pacific,0
524,NEP,Nepal,South Asia,1
528,NET,Netherlands,Europe and Central Asia,14
531,CUW,Curaçao,Latin America and the Caribbean,0
533,ABW,Aruba,Latin America and the Caribbean,0
534,SXM,Sint Maarten (Dutch part),Latin America and the Caribbean,0
535,BES,"Bonaire, Sint Eustatius and Saba",Latin America and the Caribbean,0
540,NCL,New Caledonia,East Asia and Pacific,0
548,VAN,Vanuatu,East Asia and Pacific,0
554,NZL,New Zealand,East Asia and Pacific,3
558,NIC,Nicaragua,Latin America and the Caribbean,0
562,NER,Niger,Sub-Saharan Africa,0
566,NGA,Nigeria,Sub-Saharan Africa,2
579,NOR,Norway,Europe and Central Asia,0
580,MNP,Northern Mariana Islands,East Asia and Pacific,0
583,FSM,Federated States of Micronesia,East Asia and Pacific,0
584,RMI,Marshall Islands,East Asia and Pacific,1
585,PAL,Palau,East Asia and Pacific,0
586,PAK,Pakistan,South Asia,4
591,PAN,Panama,Latin America and the Caribbean,2
598,PNG,Papua New Guinea,East Asia and Pacific,0
600,PRY,Paraguay,Latin America and the Caribbean,0
604,PER,Peru,Latin America and the Caribbean,1
608,PHI,Philippines,East Asia and Pacific,5
612,PCN,Pitcairn,East Asia and Pacific,0
616,POL,Poland,Europe and Central Asia,9
620,POR,Portugal,Europe and Central Asia,3
624,GNB,Guinea-Bissau,Sub-Saharan Africa,0
626,TIM,Timor-Leste,East Asia and Pacific,0
634,QAT,Qatar,Middle East and North Africa,0
642,ROM,Romania,Europe and Central Asia,4
643,RUS,Russian Federation,Europe and Central Asia,8
646,RWA,Rwanda,Sub-Saharan Africa,0
652,BLM,Saint Barthélemy,East Asia and Pacific,0
654,SHN,"Saint Helena, Ascension and Tristan da Cunha",Sub-Saharan Africa,0
659,KNA,Saint Kitts and Nevis,Latin America and the Caribbean,0
660,AIA,Anguilla,Latin America and the Caribbean,0
662,LCA,Saint Lucia,Latin America and the Caribbean,0
666,SPM,Saint Pierre and Miquelon,Latin America and the Caribbean,0
670,VCT,Saint Vincent and the Grenadines,Latin America and the Caribbean,1
674,SMR,San Marino,Europe and Central Asia,0
678,STP,Sao Tome and Principe,Sub-Saharan Africa,0
682,SAU,Saudi Arabia,Middle East and North Africa,10
686,SEN,Senegal,Sub-Saharan Africa,1
688,SRB,Serbia,Europe and Central Asia,2
690,SYC,Seychelles,Sub-Saharan Africa,0
694,SLE,Sierra Leone,Sub-Saharan Africa,0
699,IND,India,South Asia,36
702,SIN,Singapore,East Asia and Pacific,13
703,SVK,Slovak Republic,Europe and Central Asia,1
704,VIE,Viet Nam,East Asia and Pacific,4
705,SVN,Slovenia,Europe and Central Asia,1
