t,Food,Minerals: crude oil,Minerals: natural gas,Minerals: ores,Minerals: others,Chemicals,Metals: ferroalloys,Metals: copper,Metals: others,Others,Total
2021,2783138.1680000024,21834544.724999998,1098917.924,4391543.555999999,3176455.2739999997,2560502.7499999986,2598767.247,4033843.242,4793172.957,6801292.168999993,54072178.01199999
2020,3296926.122999994,21038210.163999997,1900208.979,3456971.161000001,2641297.0560000003,3150785.001000002,1742393.5909999993,2938809.3480000016,3728963.987999995,2895943.5329999924,46790508.94399999
2019,3427386.3959999983,36527627.719,2807950.0069999993,2905588.3999999994,3610776.9110000017,2973003.203000005,1962904.0930000003,2809900.662999999,3803209.713000008,2404737.8200000124,63233084.92500001
2018,3310034.0600000024,40750211.054000005,2238835.5419999994,2385696.546000001,4283103.8780000005,2721655.7120000077,2290432.495,2943299.897,4116824.615000005,1892551.2140000022,66932645.01300001
2017,2502896.344000003,29926644.687,1646595.3660000002,2138960,3493754.0099999993,2898585.233000002,2290045.9849999994,2865836.387000001,4701473.941000001,2130844.6510000085,54595636.60400001
2016,2268953.7650000006,14719604.912000002,1355755.348,1438207.379,2339135.0849999976,2795763.0780000025,1494878.9470000006,2265733.6400000015,3572018.929000007,2276276.246000009,34526327.32900002
2015,2209278.972000003,28250086.856000002,1776504.7,1179649.402,3594382.218,3508957.435000001,1413570.5070000002,2374218.286999999,3095293.7090000035,1974298.465999998,49376240.55200001
2014,2878668.7939999993,42967939.566999994,1892798.187,2737828.7249999996,6813644.553999992,3324140.152000004,1971513.4910000002,1990427.0210000006,3807639.4639999964,3285413.1890000096,71670013.144
2013,3059639.3019999973,48710029.584999986,2223057.71,2773086.968,6610128.226000003,3588786.9720000126,1849901.9469999997,3204344.535000001,3528496.2880000025,3069146.550000005,78616618.083
2012,3397812.2360000005,48953086.88099999,2431004.855,4047215.5949999993,7012180.593999997,3824897.5930000064,3955647.7929999996,4068739.047999999,4712896.706,4543501.090000001,86946982.39099999
2011,1968363.639999999,46262606.232000016,2301908.299,4542798.354000001,6793752.806000003,3417307.608999998,3432022.4450000008,3485396.837000001,5485343.0349999955,3223871.19400001,80913370.45100002
2010,2071608.2160000005,38213533.915999986,786920.1320000001,2429604.0730000013,4351142.983000001,2864812.9000000013,2026839.4969999997,2386526.9350000005,3722577.691000008,2030591.066999999,60884157.41
2009,1716917.5780000004,25398941.558,1523582.026,1958844.576,3037198.968000001,2313387.065000003,1381421.692,1910777.5110000002,3117501.6310000042,2035244.7800000082,44393817.38500002
2008,3349388.4979999997,33566559.717,1259820.019,2664251.826,5284222.802000005,2464363.7939999998,3965820.3479999998,3161615.162,5590737.466999989,3177325.666999992,64484105.29999998
2007,2203548.054000002,30404578.78499999,854532.939,1597009.2810000002,3213681.116000001,1854853.3649999984,1949279.1949999996,3329484.363,4866177.428999999,2546721.521000009,52819866.04799999
2006,1143050.8800000024,23645276.502000004,541423.646,1121460.3380000002,2324809.463,1610178.5299999993,1250581.0019999994,3425784.6639999994,3231284.052000005,2087967.8950000044,40381816.97200001
2005,743079.1390000001,13713437.010000002,601509.405,927897.4580000001,2082271.1649999998,980880.1850000002,1301298.395,1375918.34,2553227.0880000046,1400489.376,25680007.561
2004,868440.9650000004,9325999.190999998,525346.1579999999,767034.3210000003,1331553.5219999996,734662.5190000004,1040272.7550000002,1474267.2740000002,2267297.3690000004,1131288.1109999975,19466162.185
2003,423839.73200000025,3903299.758999999,11.284,487836.54500000004,603051.5760000004,594983.478,578192.5469999999,688055.8670000001,1459874.4919999992,534970.5899999987,9274115.869999997
2002,211179.99000000002,3360285.063,0,376818.096,403723.8180000001,523406.7210000002,480284.164,754816.7980000002,1104920.8059999999,402226.44800000085,7617661.904000001
