t,exports,davax1,davax,rex,ref,fva,pdc
2000,10352.299183461513,384.01096483310863,4665.757655982977,3406.5878322708245,19.84150300769481,2244.591590465014,15.520601735008915
2007,50905.24823173408,2814.8168614175142,26949.514438156282,16601.43925808338,107.53762215628362,7214.724063394754,32.032849943400365
2008,75040.68463061335,3339.6337668747524,39138.26155733124,23821.81167762118,151.71315893615463,11864.720087171698,64.17814955296637
2009,47235.14086420012,2796.486355420725,25841.479321234037,14528.374552467661,103.98694251178654,6728.384805128049,32.91524285862063
2010,64075.59673577423,3310.6718178601923,35786.755158906504,21746.052244379232,99.50539463590236,6419.217410831749,24.06652702074932
2011,91769.70841115138,3729.791259203341,49313.35603666613,33654.62285040459,175.38512482839673,8572.126721926319,54.21767732574225
2012,95674.8815491661,4815.271007248051,50310.77380993878,33316.449030189535,235.08647472614996,11743.633117599127,68.93911671248452
2013,89407.84726575551,4146.232811233844,48154.33822032863,31864.205857110886,259.63972367252643,9073.665928446137,55.997536197203274
2014,85787.94056643255,4848.8680598952415,44561.74806585049,31771.304004264908,223.51553320263014,9168.643537708898,62.72942540553869
2015,50956.505734494946,4068.489704569961,28558.75572479875,17533.177499397458,176.59745073054978,4661.603832212242,26.37122735600783
2016,42166.206727846686,3357.081241330451,22427.94192546563,14072.608487358571,120.8741457861266,5517.372403802916,27.409765433421285
2017,54183.81308814939,4192.018577082542,28351.35805457492,19613.95606735217,152.00698905512246,6027.790897254245,38.70107991281663
2018,65238.63287585792,6049.621924237943,34083.504845819094,23681.066380733075,134.858307153012,7300.369944405954,38.833397746820765
2019,63749.94724943656,5439.79577777223,35483.91398799288,20602.735815925655,124.38922307428211,7506.998659124715,31.909563318842316
2020,51786.605654391955,5233.85850553913,30931.75919517819,15203.155546111542,87.49200839710238,5544.923736577582,19.275168127477208
2021,65798.91132229412,5873.469609545718,35141.05175871711,23549.545152826402,93.07853658880722,6969.931410108195,45.30446405358532
2022,66778.60336596656,4174.730448324531,35583.41485496118,25004.453158422584,70.51912674196846,6099.278016557965,20.93820928294764
