flow,code,name,2021,2022
Exports,PRC,People's Republic of China,0.17696772294578866,0.20050899214656498
Exports,ITA,Italy,0.013385376429506575,0.13891966053330745
Exports,RUS,Russian Federation,0.13026080827511283,0.08958206763189196
Exports,AUT,Austria,0.0798862311727962,0.04620008359318283
Exports,KOR,Republic of Korea,0.03268249366566149,0.04409149379581164
Exports,GER,Germany,0.04311559372769356,0.04374483354152482
Exports,GRC,Greece,0.04508116274103602,0.041673071767251636
Exports,TUR,Turkey,0.02149596536314769,0.034779217037543955
Exports,SPA,Spain,0.02856350547902511,0.03279578601905275
Exports,FRA,France,0.026887953652747282,0.03226286478539396
DAVAX,PRC,People's Republic of China,0.23101166849701638,0.2612287955293517
DAVAX,RUS,Russian Federation,0.15091786863139633,0.10753198870006987
DAVAX,FRA,France,0.028364502248883143,0.03368641516077508
DAVAX,GER,Germany,0.03459318145439,0.0317351395166227
DAVAX,USA,United States,0.04022876264045484,0.03165454259199555
DAVAX,KOR,Republic of Korea,0.023863700608427536,0.031117103996411904
DAVAX,TUR,Turkey,0.01850466652550573,0.02977683618310995
DAVAX,KGZ,Kyrgyz Republic,0.011941887109093647,0.010857898480746956
DAVAX,NET,Netherlands,0.0031375160881677387,0.006637200582319454
DAVAX,THA,Thailand,0.006547561048895455,0.00559672572748795
REX,ITA,Italy,0.016441570972791437,0.17234896036845926
REX,PRC,People's Republic of China,0.09649622385370095,0.11458789769586641
REX,GRC,Greece,0.07509488718213378,0.06875591291899566
REX,AUT,Austria,0.10498462548059158,0.06312277660654984
REX,KOR,Republic of Korea,0.04586977010655725,0.06255676003306235
REX,GER,Germany,0.05573862749386539,0.06080107370066889
REX,SPA,Spain,0.044087964216397955,0.05349142980111011
REX,TUR,Turkey,0.026172562911504108,0.04198487731994527
REX,SWI,Switzerland,0.00812261865617058,0.030806606549715936
REX,FRA,France,0.024520005129604547,0.03024801495073656
FVA origin,RUS,Russian Federation,0.0786915895775944,0.3391706529175398
FVA origin,PRC,People's Republic of China,0.08887146914191985,0.14131506575447228
FVA origin,USA,United States,0.06839264690673763,0.056633289594311485
FVA origin,KOR,Republic of Korea,0.032931918786949184,0.04580677577662151
FVA origin,GER,Germany,0.04031094236798079,0.03594838216183148
FVA origin,UKG,United Kingdom,0.03556741024288373,0.027294685637624185
FVA origin,ITA,Italy,0.026709823710712448,0.0253828123357393
FVA origin,JPN,Japan,0.03709556819143068,0.016555639280287044
FVA origin,NET,Netherlands,0.026140376030646225,0.01615262876262939
FVA origin,FRA,France,0.021922613352900595,0.015674723441486713
