i,s,name,t,PLv_GVC,PLy_GVC
12,8,PRC,2022,4.885002301022776,4.95538834615625
12,11,Germany,2022,3.8525973122902117,3.8292823472030406
12,25,Japan,2022,4.209787798004835,4.291893954448582
12,43,United States,2022,4.06629676604493,4.117456248163859
12,49,Kazakhstan,2022,4.091150435058276,4.101110550938151
12,8,PRC,2010,4.956743055854387,4.9664657621964245
12,11,Germany,2010,3.904769094190509,3.895235271611786
12,25,Japan,2010,4.593802525763354,4.417081697685527
12,43,United States,2010,4.09600525661537,4.02573528519765
12,49,Kazakhstan,2010,4.1426736372564275,4.242715326917686
