i,s,name,region,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Mining,1,Australia,East Asia and Pacific,-0.008572678588906238,-0.0061948275018057055,-0.006830295403249482,-0.008146863906935737,-0.009194363015119552,-0.008713466475254143,-0.008261123054638598,-0.007384164332132419,-0.006955012060619669,-0.0066704760682110295,-0.006987894623769343,-0.007949389944753023,-0.006873179974414021,-0.007086969149866505,-0.010985809473892418,-0.008578759742759741
Mining,2,Austria,Europe and Central Asia,-0.006230147235404128,-0.007486313061166349,-0.020161514775626437,-0.023516831767254668,-0.023501357083611348,-0.025701075920943336,-0.021399448542200897,-0.019955078801926,-0.010201326263622863,-0.006503490800293611,-0.005955877238215565,-0.006836459284464214,-0.031227295983094823,-0.026590164706887028,-0.04319125541138444,-0.023809075156682277
Mining,3,Belgium,Europe and Central Asia,-0.010387298528747198,-0.01250860401017364,-0.010292788487033506,-0.009689848537916565,-0.009984667321287687,-0.009678748176616413,-0.009835625800302243,-0.01070891041497107,-0.01023916601778395,-0.009765582355049532,-0.01058232093922909,-0.011407475929242319,-0.008338616159399492,-0.007345472480305812,-0.007496130248395241,-0.008018826096928434
Mining,4,Bulgaria,Europe and Central Asia,-0.0024038103662606496,-0.003521529327812052,-0.0036463736779164795,-0.002702889759868158,-0.003337866344734581,-0.0028800848651948235,-0.0017952789649576782,-0.001971165337234017,-0.0018265290648668635,-0.0019298844044535275,-0.0024701705687777947,-0.0024810646946012023,-0.003537779619498749,-0.005547690274286959,-0.009400257122335505,-0.0026661288636620106
Mining,5,Brazil,Rest of the world,-0.009967933508636749,-0.007952363033175347,-0.008094038075698211,-0.00972720553174688,-0.015218695643225099,-0.011111473856829092,-0.010602860613820967,-0.010070146132440746,-0.008037198907934907,-0.007135080710658505,-0.007523194616114254,-0.007121570201187594,-0.006435516887651273,-0.0061547260064862665,-0.00764040172692873,-0.008619201930577384
Mining,6,Canada,North America,-0.013316216038473638,-0.010496737518354105,-0.025104775846088046,-0.029317236913317335,-0.02436883705065466,-0.02633559804301373,-0.02245837631565991,-0.012591841533764322,-0.008811076145931653,-0.011229017090056016,-0.009531683301405901,-0.0075934155691030035,-0.00733832536305133,-0.006574450813697942,-0.008831844012978733,-0.008328279241760677
Mining,7,Switzerland,Europe and Central Asia,-0.033933014404223,-0.0375407289598039,-0.021000485169615828,-0.010810699016111513,-0.017103100387954866,-0.017967506732901598,-0.01959687288040352,-0.023210148211503173,-0.022377387344538643,-0.030181894416469606,-0.035286302301616376,-0.019591052314436207,-0.020347571093814548,-0.01288303730411342,-0.011256035206316111,-0.01565770481013907
Mining,8,People's Republic of China,East Asia and Pacific,-0.08956229878432594,-0.09918656052428797,-0.10540285912243332,-0.13826107705703233,-0.14490028679985706,-0.1521257982913021,-0.14786681812964653,-0.11774253410129823,-0.11599307437740267,-0.10502458200643802,-0.1097763653251392,-0.12509618751781929,-0.1543824009779598,-0.19447480100733722,-0.19118338127491255,-0.19601367258473362
Mining,9,Cyprus,Europe and Central Asia,-5.649187316576954e-4,-6.93906466279552e-4,-7.88342218711871e-4,-6.888902041986736e-4,-3.7230696866908975e-4,-0.0011957968975117492,-4.677043846587886e-4,-6.285708904510343e-4,-5.806130573410349e-4,-6.384913763496972e-4,-9.004983959326593e-4,-7.378411275294414e-4,-7.760741783040532e-4,-0.0010016455956426663,-9.810872948617176e-4,-7.863527351955016e-4
Mining,10,Czech Republic,Europe and Central Asia,-0.0030173585389375586,-0.004529063893664091,-0.006384841498632653,-0.005240845464890448,-0.004461661248629812,-0.004463809695612625,-0.003946347911068112,-0.004043172448821997,-0.003642266583021946,-0.003885587648542571,-0.0038558140000708356,-0.0039218099968836295,-0.006940212396835574,-0.006756010568767197,-0.007687049805980497,-0.004665630587227376
Mining,11,Germany,Europe and Central Asia,-0.05823976242373895,-0.06425524740311438,-0.06682756137584252,-0.0697825342771797,-0.06383597832867023,-0.06358360485359989,-0.06407965724977417,-0.06815055873206308,-0.05999815776397608,-0.06499964239741948,-0.06566966315753459,-0.06095896954333571,-0.06980469783599262,-0.06888508641337761,-0.06833827362836041,-0.059340276693279154
Mining,12,Denmark,Europe and Central Asia,-0.0037204431758623385,-0.0039266332089616055,-0.004014677868878671,-0.0036582221225014305,-0.003456835843061114,-0.0034305834256384326,-0.003433322992583475,-0.004019994759033823,-0.0037581874978136337,-0.0037687834929862676,-0.003902626369427869,-0.004115065645555138,-0.0034721210132858523,-0.0037155183418539897,-0.004145708291312057,-0.0035853250170866115
Mining,13,Spain,Europe and Central Asia,-0.030313513389345886,-0.03187697383967862,-0.02610171519309693,-0.027280628618523664,-0.022805515974840016,-0.018723217428404423,-0.024575964891354142,-0.029816763074778718,-0.02698854898209492,-0.029680488875685775,-0.029741551347889948,-0.031520579243103856,-0.024472281863540328,-0.021389668089931462,-0.02302905149127266,-0.0237721187090232
Mining,14,Estonia,Europe and Central Asia,-5.569100323105904e-4,-4.4173291602740564e-4,-5.329503958065302e-4,-4.892628677712825e-4,-4.3593949723606714e-4,-3.816802455748597e-4,-3.943881374840674e-4,-5.005416164256128e-4,-4.913399566206885e-4,-5.607722233327748e-4,-6.260091987419982e-4,-6.140009580260906e-4,-8.011766838197359e-4,-9.88404400297211e-4,-0.0014372740120331738,-6.662496241034412e-4
Mining,15,Finland,Europe and Central Asia,-0.005918726440598565,-0.0061657444597620955,-0.006571934548338073,-0.003917851783379384,-0.004395579194520746,-0.00396219983459179,-0.004493104623130514,-0.00591769936571293,-0.004894447536861641,-0.005075133818218708,-0.004338761839942153,-0.0032472067290615437,-0.002448197888937716,-0.002475186878565462,-0.0028903029928208043,-0.0025058512395470414
Mining,16,France,Europe and Central Asia,-0.0806966675484022,-0.09183888704049638,-0.072921594092331607,-0.0719922880058405,-0.06274226100537139,-0.062354597442090515,-0.06500515943454035,-0.06643493248538884,-0.06093763445886403,-0.05861295376968135,-0.06281806297007858,-0.06325112864606183,-0.05825420467435814,-0.044618827183823304,-0.03812741292312786,-0.04176524507116998
Mining,17,United Kingdom,Europe and Central Asia,-0.04285285720288927,-0.03385290756180598,-0.03259963128361826,-0.03259987282101359,-0.0288781488240241,-0.029993492659795448,-0.030033677498691607,-0.031101839250834134,-0.030589725105752936,-0.030612907355022173,-0.02968295439415557,-0.0296879864573543,-0.023220539610473084,-0.021363690407471467,-0.023827712764053318,-0.022041149627276362
Mining,18,Greece,Europe and Central Asia,-0.01008649425102848,-0.010187781273242545,-0.013297773038928967,-0.015030306479937399,-0.006765866058472776,-0.006985192546426941,-0.007349825450722108,-0.0154032659257215,-0.014768748741370047,-0.015974382419792488,-0.009364208095332192,-0.011792485967423093,-0.009713868561924544,-0.015880644422961793,-0.018096441754179692,-0.013887387942468547
