i,s,name,region,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Metals,1,Australia,East Asia and Pacific,-0.008941598607461975,-0.009286604996671291,-0.009377760005963232,-0.010599323584350853,-0.010820690797810676,-0.010468782672977415,-0.009201022228034674,-0.008021688698043851,-0.007307718713796686,-0.007761033890688067,-0.007533066118413808,-0.007668001056150927,-0.007571289389870099,-0.008679238235968117,-0.009909526896139035,-0.008612993745764342
Metals,2,Austria,Europe and Central Asia,-0.005932013740118291,-0.006436623903508468,-0.007868154578017946,-0.008311193449287579,-0.007585838870825909,-0.006635632406445987,-0.006881411551668515,-0.006793046543008457,-0.005023256117489225,-0.00471447198786048,-0.004378338743027895,-0.004982954289993004,-0.008079128898966146,-0.006783475652480256,-0.01138137023672185,-0.007684717533310172
Metals,3,Belgium,Europe and Central Asia,-0.009008097182932997,-0.010194110397670915,-0.007646675465934577,-0.006999562469212545,-0.006647318397282373,-0.006221635688039404,-0.0060533175552250984,-0.006195719407602265,-0.00622225052549368,-0.007208100800154706,-0.006555092132297783,-0.0072154190967412225,-0.005238070719285729,-0.005386764317472494,-0.006453037273978458,-0.0056649249146553775
Metals,4,Bulgaria,Europe and Central Asia,-0.0012657083565948554,-0.0013828480186527882,-0.0011904726083027436,-0.001170542289197134,-0.0012198140726575218,-0.0010900001223625203,-0.0011265430472982344,-0.0011804502319076576,-0.001679802653953133,-0.0011627212129921352,-0.0016384420474316323,-0.0015819297436893396,-0.001434264867264307,-0.0018339178764571783,-0.0033082434802949685,-0.0015144917256923985
Metals,5,Brazil,Rest of the world,-0.008847932187638902,-0.0098285905163469,-0.009198137428138886,-0.01113264711635481,-0.012906219611240966,-0.010351768931323954,-0.01021312239485211,-0.009518186096049845,-0.007571456068887676,-0.006725114475951088,-0.00656520181001865,-0.006351595625033345,-0.006613220405309923,-0.005763570957926532,-0.007510623937197443,-0.0076978200786964055
Metals,6,Canada,North America,-0.010448591492448454,-0.010206535268884752,-0.011383651882762816,-0.013262461540959673,-0.012155245566726142,-0.01120831591718938,-0.011226777767125119,-0.009733576402739787,-0.009300809919678264,-0.008871427455085021,-0.009177781886017188,-0.007548609866591569,-0.007879787535406095,-0.00804981063014409,-0.016102500232451,-0.012901357153458283
Metals,7,Switzerland,Europe and Central Asia,-0.014120520781226754,-0.02343483944850469,-0.03505294719670826,-0.026702893097713717,-0.025650225457578606,-0.02641425177586031,-0.024898591351808365,-0.017916269555436643,-0.009751138123250505,-0.010428064754749637,-0.011564771888420842,-0.010276116725171262,-0.008396803646868945,-0.00862125077163441,-0.008896721781519274,-0.010799033027571502
Metals,8,People's Republic of China,East Asia and Pacific,-0.13196328357883438,-0.11774190590284135,-0.17019311108213087,-0.18604416832580822,-0.18093898690313862,-0.19153586171178322,-0.20750254376951455,-0.196689430368004,-0.19583806571153456,-0.19443584601558242,-0.20500202587891372,-0.21822581975422034,-0.29588697757090865,-0.32777751750112327,-0.2636204044336104,-0.2803775374271064
Metals,9,Cyprus,Europe and Central Asia,-4.536239125205531e-4,-5.097461465523846e-4,-5.224508933146903e-4,-4.6555294082713597e-4,-5.212227150110349e-4,-4.2971016776219403e-4,-3.7098083566168604e-4,-4.095213224506097e-4,-4.671187727196341e-4,-4.432040338978906e-4,-4.824429658120527e-4,-5.063713711735483e-4,-5.844576029943742e-4,-6.395945638612006e-4,-9.517514204594117e-4,-4.903817673133445e-4
Metals,10,Czech Republic,Europe and Central Asia,-0.0035016683227946663,-0.00415950385175234,-0.003851643992580805,-0.003709806553573011,-0.003573135834955972,-0.0036344083595814297,-0.003404144854041644,-0.0034315852409787764,-0.003396153889192362,-0.0034918469433785565,-0.003425682871708151,-0.003708735106301464,-0.0037488747416959335,-0.0034830810321031464,-0.004422076867879774,-0.0034463805479713096
Metals,11,Germany,Europe and Central Asia,-0.058769416717472926,-0.06285122708834695,-0.06372483030613539,-0.06661416241542559,-0.06465796455531589,-0.058101424540946564,-0.05093369781700127,-0.050279578938712974,-0.04727375005707915,-0.0462585429561947,-0.0476943957525458,-0.048375265265191016,-0.04002970189283852,-0.03875578495460083,-0.04266434302051129,-0.04034126664809471
Metals,12,Denmark,Europe and Central Asia,-0.0042182006005858745,-0.004705580164619094,-0.0038411787294950015,-0.0035270168857395165,-0.0032441881173589106,-0.0030943166360448506,-0.0028449792070482536,-0.0028355014192386384,-0.002960097343800665,-0.0029729545005744923,-0.003050788176570268,-0.0031997356348769522,-0.002420539549143589,-0.002727767377883033,-0.0038131445636352783,-0.0029635192950626084
Metals,13,Spain,Europe and Central Asia,-0.023762580202310604,-0.019841126462055277,-0.015624459394684253,-0.01564839517669615,-0.015689465967640502,-0.013702845039306076,-0.013099219606837104,-0.0169380720110642,-0.015773241263946188,-0.014329048167803698,-0.01332714261203951,-0.01627428738783439,-0.011657015003016052,-0.010909227484514025,-0.014009523083973567,-0.014490722477905806
