method,t,asean,eaeu,eu,nafta,safta
end-to-end,2000,2.500480287800116,2.9834806853186215,1.6316171958061176,1.4722712726144829,2.472855586800538
end-to-end,2007,3.365409147834454,1.563825954901396,1.557355025572085,1.7435470580550831,1.4001272891865544
end-to-end,2008,3.347661329478507,1.317955755094518,1.548167234733577,1.7787060448281997,1.599505328867609
end-to-end,2009,3.2915383126996423,1.8294957818622362,1.5758200546647267,1.7498127245714226,1.5389236943607196
end-to-end,2010,2.9328670222446673,1.1240127329326672,1.6679688033827638,1.7770078127755486,1.2383823307281578
end-to-end,2011,2.834603035604617,1.2930285579238354,1.689895690308575,1.8221142380064428,1.3172861500170905
end-to-end,2012,2.659803328215492,1.4854338670194636,1.7313699779028522,1.7889500519426438,1.2961044768950494
end-to-end,2013,2.645577474309264,1.6184959340966325,1.769746843352611,1.816459754421263,1.5836805118921269
end-to-end,2014,3.0266607520916033,1.5768070128287301,1.7276214847974536,1.809022267475323,1.7443438220559015
end-to-end,2015,2.681354049875132,2.463106546748031,1.7220251655900698,1.6619331283039753,1.704528215135179
end-to-end,2016,2.0980671689224017,2.6679127066351085,1.6650858057812572,1.7152156520871569,1.6183483248099466
end-to-end,2017,2.7875217160055867,2.103066183489878,1.7177166162101665,1.320883429010343,1.6965741667293832
end-to-end,2018,2.528533781799645,2.096800480072866,1.57988305454939,1.4892477328506752,1.2565354069715389
end-to-end,2019,2.5212444723296406,2.222939825060218,1.661971852998941,1.476206866051171,1.1193743510733578
end-to-end,2020,2.4315087067014995,2.154175403704167,1.7051578756684582,1.51131140196274,0.9303636525538667
end-to-end,2021,2.445937945702346,1.12449320029899,1.7498174292393782,1.539360503999386,0.7862368083798199
end-to-end,2022,2.331761355326649,1.7141847873137215,1.7576558536492266,1.5315122386668454,1.0448532136483597
gross exports,2000,3.0449168465820664,5.411891287006289,1.7619361959563,1.9347732778234807,3.2057913301413428
gross exports,2007,4.009307794254941,2.592832542927524,1.6702526755193223,2.391291264460829,1.932246775038547
gross exports,2008,3.9970457588399224,2.3193259037025706,1.658773912334843,2.439589566668303,2.1926301318109336
gross exports,2009,3.8518379347768956,2.854475377535838,1.6628072979001016,2.365656963746846,2.0150148895106406
gross exports,2010,3.5076480449741023,1.842685584265931,1.7743689608200865,2.4425030590881844,1.564493450512345
gross exports,2011,3.4198795880937327,2.153389461685513,1.8004003210966772,2.530129379493626,1.7161867909393005
gross exports,2012,3.1129880093097255,2.478787727358694,1.8445174161306173,2.487799055223704,1.6827723846374774
gross exports,2013,3.0769871828358255,2.6066649164744233,1.9037661775172985,2.531203398961267,1.9670109226531978
gross exports,2014,3.41117585242527,2.459606063222891,1.8371891730968137,2.512701873896247,2.166449444289554
gross exports,2015,3.0596717270628937,3.745589144553324,1.811596413070091,2.348546848962893,2.239664974852256
gross exports,2016,2.4314909301490393,4.1210517620583476,1.7641670133623626,2.468676494277168,2.1029735892808943
gross exports,2017,3.1669242456074427,3.329439569224717,1.8023225997207342,1.9625712026261888,2.281663301975512
gross exports,2018,2.8024751256137415,3.217930166826857,1.68981346399252,2.1608276944230314,1.6702462219441134
gross exports,2019,2.6706772949778963,3.3383875066487807,1.7327522576472902,2.080965038482593,1.482041966181379
gross exports,2020,2.550510689705795,3.217847181276073,1.7462911939286023,2.1087358109632577,1.1992853320608452
gross exports,2021,2.5938246026921887,1.6964195041085968,1.8018784029612918,2.207215508556544,1.016633056987214
gross exports,2022,2.56202550682238,2.8078215197827956,1.826560448206663,2.2148411996102784,1.4006416501943586
