t,i,k,hs02_desc,section,section_name,v,share
2021,398,10110,"Horses, asses, mules and hinnies: live, pure-bred breeding animals",1,Live animals; animal products,6.765,1.251105512801554e-7
2021,398,10190,"Horses, asses, mules and hinnies: live, other than pure-bred breeding animals",1,Live animals; animal products,626.831,1.1592486617810954e-5
2021,398,10210,"Bovine animals: live, pure-bred breeding animals",1,Live animals; animal products,4720.993,8.730909635177455e-5
2021,398,10290,"Bovine animals: live, other than pure-bred breeding animals",1,Live animals; animal products,63690.46,0.0011778785752973669
2021,398,10410,Sheep: live,1,Live animals; animal products,16443.591,3.041044693326537e-4
2021,398,10420,Goats: live,1,Live animals; animal products,64.285,1.18887387864668e-6
2021,398,10511,"Poultry: live, fowls of the species gallus domesticus, weighing not more than 185g",1,Live animals; animal products,172.5,3.1901803541503044e-6
2021,398,10619,"Mammals: live, other than primates, whales, dolphins and porpoises (order Cetacea), manatees and dugongs (order Sirenia)",1,Live animals; animal products,157.353,2.9100547783571764e-6
2021,398,10631,"Animals: live, birds of prey",1,Live animals; animal products,16.819,3.110472079794433e-7
2021,398,10639,"Animals: live, birds, other than birds of prey and Psittaciformes",1,Live animals; animal products,168.019,3.1073096401390147e-6
2021,398,10690,"Animals: live, n.e.c. in chapter 01, other than mammals, reptiles and birds",1,Live animals; animal products,54.80500000000001,1.0135526626620722e-6
2021,398,20110,"Meat: of bovine animals, carcasses and half-carcasses, fresh or chilled",1,Live animals; animal products,289.835,5.360150277942919e-6
2021,398,20120,"Meat: of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",1,Live animals; animal products,32884.106,6.081520517391082e-4
2021,398,20130,"Meat: of bovine animals, boneless cuts, fresh or chilled",1,Live animals; animal products,8440.778,1.5610205303967595e-4
2021,398,20220,"Meat: of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen",1,Live animals; animal products,2170.464,4.014012528806079e-5
2021,398,20230,"Meat: of bovine animals, boneless cuts, frozen",1,Live animals; animal products,3697.877,6.838779453602472e-5
2021,398,20322,"Meat: of swine, hams, shoulders and cuts thereof, with bone in, frozen",1,Live animals; animal products,21.44,3.965070538723625e-7
2021,398,20329,"Meat: of swine, n.e.s. in item no. 0203.2, frozen",1,Live animals; animal products,574.392,1.0622690283948417e-5
2021,398,20410,"Meat: of sheep, lamb carcasses and half-carcasses, fresh or chilled",1,Live animals; animal products,4579.955,8.470076790662295e-5
2021,398,20421,"Meat: of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), fresh or chilled",1,Live animals; animal products,2329.773,4.308635393756416e-5
