t,i,j,name,k,hs02_desc,v,q
2021,398,156,People's Republic of China,740311,"Copper: refined, unwrought, cathodes and sections of cathodes",2434560.742,   262678.400
2021,398,156,People's Republic of China,270900,"Oils: petroleum oils and oils obtained from bituminous minerals, crude",2191628.901,  4492672.000
2021,398,156,People's Republic of China,260300,Copper ores and concentrates,1571362.857,   801686.300
2021,398,156,People's Republic of China,271121,"Petroleum gases and other gaseous hydrocarbons: in gaseous state, natural gas",1097888.492,  3557000.466
2021,398,156,People's Republic of China,720241,"Ferro-alloys: ferro-chromium, containing by weight more than 4% of carbon",934442.464,   634000.000
2021,398,156,People's Republic of China,790111,"Zinc: unwrought, (not alloyed), containing by weight 99.99% or more of zinc",565587.569,   197984.903
2021,398,156,People's Republic of China,284410,"Uranium: natural uranium and its compounds, alloys, dispersions (including cermets), ceramic products and mixtures containing natural uranium or natural uranium compounds",553183.361,     6459.089
2021,398,156,People's Republic of China,260111,Iron ores and concentrates: non-agglomerated,234469.369,  2695476.480
2021,398,156,People's Republic of China,260112,Iron ores and concentrates: agglomerated (excluding roasted iron pyrites),227787.701,  1910836.000
2021,398,156,People's Republic of China,261690,Precious metal ores and concentrates: (excluding silver),222771.476,    72916.476
2021,398,156,People's Republic of China,281820,Aluminium oxide: other than artificial corundum,74088.382,   232117.300
2021,398,156,People's Republic of China,270112,"Coal: bituminous, whether or not pulverised, but not agglomerated",46862.205,   541870.666
2021,398,156,People's Republic of China,100190,Cereals: meslin and wheat other than durum,41884.801,   178688.900
2021,398,156,People's Republic of China,810820,"Titanium: unwrought, powders",36441.124,     4401.035
2021,398,156,People's Republic of China,284420,"Uranium: enriched in U235, plutonium, their compounds, alloys dispersions (including cermets), ceramic products and mixtures containing uranium enriched in U235, plutonium or compounds of these products",35963.233,       38.651
2021,398,156,People's Republic of China,260800,Zinc ores and concentrates,35105.725,    46844.450
2021,398,156,People's Republic of China,120400,"Oil seeds: linseed, whether or not broken",32568.147,    62355.104
2021,398,156,People's Republic of China,260700,Lead ores and concentrates,27482.713,    17061.882
2021,398,156,People's Republic of China,151511,"Vegetable oils: linseed oil and its fractions, crude, not chemically modified",25836.779,    20308.971
2021,398,156,People's Republic of China,120600,"Oil seeds: sunflower seeds, whether or not broken",24371.408,    56467.120
2021,398,156,People's Republic of China,100300,Cereals: barley,20377.474,   112386.770
2021,398,156,People's Republic of China,261510,Zirconium ores and concentrates,19094.024,    26913.600
2021,398,156,People's Republic of China,271311,"Petroleum coke: (not calcined), obtained from bituminous minerals",18521.518,   109221.500
2021,398,156,People's Republic of China,271112,"Petroleum gases and other gaseous hydrocarbons: liquefied, propane",17050.703,    34167.000
2021,398,156,People's Republic of China,740500,Copper: master alloys of copper,16998.021,      740.827
2021,398,156,People's Republic of China,281990,Chromium oxides and hydroxides: excluding chromium trioxide,13971.831,     5460.000
2021,398,156,People's Republic of China,120760,"Oil seeds: safflower seeds, whether or not broken",13235.924,    34610.390
2021,398,156,People's Republic of China,240120,Tobacco: partly or wholly stemmed or stripped,11988.154,     1568.160
2021,398,156,People's Republic of China,520100,Cotton: not carded or combed,11605.125,     7195.224
2021,398,156,People's Republic of China,151211,"Vegetable oils: sunflower seed or safflower oil and their fractions, crude, not chemically modified",11426.935,    10617.380
